English,Spanish,Zero Shot BLEU,Fine Tuned BLEU,Zero Shot Cosine,Fine Tuned Cosine,Zero Shot Transcribed Audio,Fine Tuned Transcribed Audio
"You are wrong, father.","Ud. Esta equivocado, Padre.",0.0,0.0,0.9491397142410278,0.9465568661689758,¿Od este equivocado padre?,Ad este equivocado padre.
You should now understand our difficulty,Debe entender nuestra dificultad actual,0.0,0.12574334296829354,0.9508512020111084,0.9482612013816833,"Divin tender nuestra, difficult and actual.",Debe intender nuestra dificultad actual.
"Now, Dale, listen carefully.","Ahora, Dale, escucha con cuidado.",0.08633400213704504,0.05372849659117709,0.9607847332954407,0.9603015184402466,ahora que él escucha con cuidado,"Ahorra, de él escucha concluido."
Additional pain management strategies,Otras estrategias de manejo del dolor,0.07730551756939454,0.08307018474412793,0.9577894806861877,0.9572299122810364,otros es estrategias de menudo del dolor.,otras estrategias de mena de su del dolor
This is going to be a very special evening.,Esta va a ser una noche especial.,0.07308015504567583,0.036015288308423515,0.9597436189651489,0.9670853614807129,Este va a Sir Unanocis Special.,Esteve a Sir Unanokis Special.
You checked their backgrounds.,Se revisaron sus antecedentes.,0.3976353643835253,0.3976353643835253,0.9522061347961426,0.950775146484375,Si revisaron sus antecedentes.,Si revisaron sus antecedentes.
"WERACEDSEASONSEVENANDWON, BUT WE'RE GROWING APART.",Nosotros competimos en la temporada 7 y ganamos pero nos hemos distanciados.,0.4301463832259786,0.2658156069371863,0.956183135509491,0.9552351236343384,Nosotros competimos en la temporada. Aiganamos pero nos hemos distanciados.,Nosotros compatimos en la temporada. Aiganamos pero nos hemos distanciados.
You already said that about the Matisses and the Dufys.,Dijiste lo mismo de los Matisses y los Dufys.,0.2777619034011791,0.2777619034011791,0.9607711434364319,0.9553987979888916,de just lo mismo de los matices de los doofos.,"de just lo mismo de los matices, by los doofis."
"""I'm going to the loo now."" ""OK, Elv, we'll go with you."" Strange","""Tengo que ir a mear."" ""Vamos contigo, Elvis."" Algo muy raro.",0.022835060540062107,0.025132936350227657,0.9502472281455994,0.9495007395744324,"Tengo que remir, famous contigo Elvis, algo my raro.","Tengo que a mí, famous contigo Elvis, algo más raro."
"David, Segovia (8/2/2014)","David, Segovia (8/2/2014)",0.09069748827745895,0.09069748827745895,0.9393316507339478,0.9388713240623474,David Segovia,David Segovia
"Like somehow, by doing my job, I was making the world a better place.",Como si haciendo mi trabajo estuviera mejorando el mundo.,0.5969491792019646,0.7259795291154771,0.9540895223617554,0.9539713859558105,"Como si haciendo mi trabajo, estuviera mejorando el mundo.",¿Cómo si haciendo mi trabajo estuviera mejorando el mundo?
I believe I can bypass the safety circuits.,Creo que puedo puentear los circuitos de seguridad.,0.4111336169005197,0.4111336169005197,0.947516679763794,0.9549828767776489,Creo que apurito puente los circuitos de seguridad.,Creo que puede aportar los circuitos de seguridad.
Very well. If you say so.,"Muy bien, si Ud. Io dice...",0.033031643180138064,0.09302577375697234,0.9395302534103394,0.9443391561508179,"¡Muy bien, sé, ¡ud! ¡Ay a dice!","¿Muy bien, si ad iodice?"
Undertakings by Participants,Compromisos de los participantes,0.16990442448471224,0.16990442448471224,0.9513908624649048,0.9510942697525024,compromisos de los participantes.,compromises de los participantes.
"Well, the law says you have that right.","Bueno, la ley dice que tienes ese derecho.",0.03303164318013808,0.023980296761827107,0.9604917764663696,0.9557642936706543,"Bueno, le le dice, quitines y es derecho.","Bueno, lo le dais quitténs y es de recco."
You know what? That was just a fluke.,Eso fue casualidad.,0.24028114141347542,0.24028114141347542,0.9453542232513428,0.942295253276825,Esa fue casualidad.,Esa fue casualidad.
"- I know, ma.",- Siento que tenga que trabajar tanto.,0.036015288308423515,0.17103294495668978,0.9375978708267212,0.9412332773208618,"¡Siento, ¡cranquen que trebajar tanto!",¡Saiento que tenga que trabujar tanto!
I love those.,Me encantan esos.,0.24028114141347542,0.0,0.9378176927566528,0.9414685964584351,Me encantan Isis.,¡Está bien!
Take your drink and lay down your life with your family.,"Tomen su bebida, y dejen ir su vida con su familia.",0.1073525213116119,0.5348259312838877,0.9501328468322754,0.9518736600875854,Tomen subebaida. Idigen ir subaida con su familia.,Tomen su bebaida y digan ir su vida con su familia.
Have you heard the rustling of the leaves.,Ha escuchado el crujir de las hojas.,0.1477219991186121,0.06500593260343691,0.9424269199371338,0.949046790599823,Es que chato el crujeur de las hojas.,¡Haz que chato el cruje de las hojas!
Average,Average,0.17357492365466953,0.18953851016192985,0.9501698344945908,0.9507642775774002,Average,Average
